"path","en","de"
"betzold_flexeo:flexeo_box.parameters[materialBoxes].labels","Material Box","Material Box"
"betzold_flexeo:flexeo_door.parameters[materialShelf].labels","Material Interior","Material Innenaustattung"
"betzold_flexeo:flexeo_door.parameters[direction].labels","Door opening direction","Türausrichtung"
"betzold_flexeo:flexeo_door.parameters[direction].valueObjects[right].labels","Right","Rechts"
"betzold_flexeo:flexeo_door.parameters[direction].valueObjects[left].labels","Left","Links"
"betzold_flexeo:flexeo_interior_set.parameters[materialShelf].labels","Material Interior","Material Innenaustattung"
"betzold_flexeo:flexeo_interior_set.parameters[materialBoxes].labels","Material Box","Material Box"
"betzold_flexeo:flexeo_interior_set.parameters[interiorType].labels","Interior sets","Innenaustattung Sets"
"betzold_flexeo:flexeo_interior_set.parameters[interiorType].valueObjects[typ1].labels","Set 1","Set 1"
"betzold_flexeo:flexeo_interior_set.parameters[interiorType].valueObjects[typ2].labels","Set 2","Set 2"
"betzold_flexeo:flexeo_interior_set.parameters[interiorType].valueObjects[typ3].labels","Set 3","Set 3"
"betzold_flexeo:flexeo_interior_set.parameters[interiorType].valueObjects[typ4].labels","Set 4","Set 4"
"betzold_flexeo:flexeo_interior_set.parameters[interiorType].valueObjects[typ5].labels","Set 5","Set 5"
"betzold_flexeo:flexeo_interior_set.parameters[direction].labels","Door opening direction","Türausrichtung"
"betzold_flexeo:flexeo_interior_set.parameters[direction].valueObjects[right].labels","Right","Rechts"
"betzold_flexeo:flexeo_interior_set.parameters[direction].valueObjects[left].labels","Left","Links"
"betzold_flexeo:flexeo_master.parameters[material].labels","Wood decor","Holzdekor"
"betzold_flexeo:flexeo_master.parameters[corpusCount].labels","Corpus count","Anzahl Korpus"
"betzold_flexeo:flexeo_master.parameters[footType].labels","Foot type","Stellart"
"betzold_flexeo:flexeo_master.parameters[footType].valueObjects[wheels].labels","Wheels","Rollen"
"betzold_flexeo:flexeo_master.parameters[footType].valueObjects[stand].labels","Stand","Stellfüße"
"betzold_flexeo:flexeo_master.parameters[footType].valueObjects[socket].labels","Socket","Sockel"
"betzold_flexeo:flexeo_master.parameters[interiorSet1].labels","Interior corpus 1","Innenaustattung Korpus 1"
"betzold_flexeo:flexeo_master.parameters[interiorSet1].valueObjects[none].labels","None","Keine"
"betzold_flexeo:flexeo_master.parameters[interiorSet1].valueObjects[set1].labels","Set 1","Set 1"
"betzold_flexeo:flexeo_master.parameters[interiorSet1].valueObjects[set2].labels","Set 2","Set 2"
"betzold_flexeo:flexeo_master.parameters[interiorSet1].valueObjects[set3].labels","Set 3","Set 3"
